Date,Index
1932-5-6,6.09
1932-5-9,5.96
1932-5-10,6.01
1932-5-11,6.01
1932-5-12,5.8
1932-5-13,5.6
1932-5-16,5.61
1932-5-17,5.59
1932-5-18,5.45
1932-5-19,5.48
1932-5-20,5.48
1932-5-23,5.43
1932-5-24,5.21
1932-5-25,5.03
1932-5-26,5.11
1932-5-27,4.83
1932-5-31,4.47
1932-6-1,4.4
1932-6-2,4.64
1932-6-3,4.89
1932-6-6,5.07
1932-6-7,4.85
1932-6-8,4.57
1932-6-9,4.57
1932-6-10,4.92
1932-6-13,4.82
1932-6-14,4.94
1932-6-15,5.12
1932-6-16,5.12
1932-6-17,4.83
1932-6-20,4.89
1932-6-21,4.77
1932-6-22,4.77
1932-6-23,4.8
1932-6-24,4.6
1932-6-27,4.44
1932-6-28,4.44
1932-6-29,4.51
1932-6-30,4.43
1932-7-1,4.6
1932-7-5,4.5
1932-7-6,4.6
1932-7-7,4.45
1932-7-8,4.41
1932-7-11,4.6
1932-7-12,4.6
1932-7-13,4.82
1932-7-14,4.79
1932-7-15,4.93
1932-7-18,4.8
1932-7-19,4.78
1932-7-20,4.93
1932-7-21,5.05
1932-7-22,5.2
1932-7-25,5.48
1932-7-26,5.4
1932-7-27,5.67
1932-7-28,5.85
1932-7-29,6.03
1932-8-1,6.11
1932-8-2,5.87
1932-8-3,6.39
1932-8-4,6.52
1932-8-5,6.8
1932-8-8,7.43
1932-8-9,7.39
1932-8-10,7.65
1932-8-11,7.61
1932-8-12,7.61
1932-8-15,7.44
1932-8-16,7.68
1932-8-17,7.51
1932-8-18,7.6
1932-8-19,7.53
1932-8-22,7.77
1932-8-23,8.15
1932-8-24,8.33
1932-8-25,8.26
1932-8-26,8.39
1932-8-29,8.58
1932-8-30,8.47
1932-8-31,8.39
1932-9-1,8.47
1932-9-2,8.84
1932-9-6,8.91
1932-9-7,9.31
1932-9-8,8.97
1932-9-9,8.75
1932-9-12,8.15
1932-9-13,7.8
1932-9-14,7.35
1932-9-15,7.66
1932-9-16,7.57
1932-9-19,7.34
1932-9-20,7.62
1932-9-21,8.52
1932-9-22,8.26
1932-9-23,8.4
1932-9-26,8.04
1932-9-27,8.13
1932-9-28,8.36
1932-9-29,8.1
1932-9-30,8.08
1932-10-3,8.06
1932-10-4,8.05
1932-10-5,7.39
1932-10-6,7.43
1932-10-7,7.02
1932-10-10,6.42
1932-10-11,6.88
1932-10-13,6.67
1932-10-14,7.13
1932-10-17,7.13
1932-10-18,7.13
1932-10-19,7.4
1932-10-20,7.23
1932-10-21,6.82
1932-10-24,6.83
1932-10-25,6.76
1932-10-26,6.89
1932-10-27,6.95
1932-10-28,7.09
1932-10-31,6.96
1932-11-1,6.76
1932-11-2,6.52
1932-11-3,6.48
1932-11-4,6.88
1932-11-7,7.24
1932-11-9,6.92
1932-11-10,7.44
1932-11-11,7.68
1932-11-14,7.43
1932-11-15,7.43
1932-11-16,7.2
1932-11-17,7.15
1932-11-18,7.13
1932-11-21,7.2
1932-11-22,7.17
1932-11-23,6.85
1932-11-25,6.78
1932-11-28,6.8
1932-11-29,6.78
1932-11-30,6.55
1932-12-1,6.73
1932-12-2,6.47
1932-12-5,6.54
