Decimal_Year,Index
2016.1502732240438,1951.7
2016.1530054644809,1948.05
2016.1612021857923,1932.23
2016.1639344262296,1978.35
2016.1666666666667,1986.45
2016.1693989071039,1993.4
2016.172131147541,1999.99
2016.1803278688524,2001.76
2016.1830601092897,1979.26
2016.1857923497269,1989.26
2016.188524590164,1989.57
2016.191256830601,2022.19
2016.1994535519125,2019.64
2016.2021857923498,2015.93
2016.204918032787,2027.22
2016.207650273224,2040.59
2016.2103825136612,2049.58
2016.2185792349726,2051.6
2016.22131147541,2049.8
2016.224043715847,2036.71
2016.2267759562842,2035.94
2016.2377049180327,2037.05
2016.24043715847,2055.01
2016.2431693989072,2063.95
2016.2459016393443,2059.74
2016.2486338797814,2072.78
2016.2568306010928,2066.13
2016.25956284153,2045.17
2016.2622950819673,2066.66
2016.2650273224044,2041.91
2016.2677595628415,2047.6
2016.275956284153,2041.99
2016.27868852459,2061.72
2016.2814207650274,2082.42
2016.2841530054645,2082.78
2016.2868852459017,2080.73
2016.295081967213,2094.34
2016.2978142076502,2100.8
2016.3005464480875,2102.4
2016.3032786885246,2091.48
2016.3060109289618,2091.58
2016.3142076502731,2087.79
2016.3169398907103,2091.7
2016.3196721311476,2095.15
2016.3224043715848,2075.81
2016.3251366120219,2065.3
2016.3333333333333,2081.43
2016.3360655737704,2063.37
2016.3387978142077,2051.12
2016.3415300546449,2050.63
2016.344262295082,2057.14
2016.3524590163934,2058.69
2016.3551912568305,2084.39
2016.3579234972678,2064.46
2016.360655737705,2064.11
2016.363387978142,2046.61
2016.3715846994535,2066.66
2016.3743169398906,2047.21
2016.377049180328,2047.63
2016.379781420765,2040.04
2016.3825136612022,2052.32
2016.3907103825136,2048.04
2016.3934426229507,2076.06
2016.396174863388,2090.54
2016.3989071038252,2090.1
2016.4016393442623,2099.06
2016.4125683060108,2096.96
2016.4153005464482,2099.33
2016.4180327868853,2105.26
2016.4207650273224,2099.13
2016.4289617486338,2109.41
2016.431693989071,2112.13
2016.4344262295083,2119.12
2016.4371584699454,2115.48
2016.4398907103825,2096.07
2016.448087431694,2079.06
2016.450819672131,2075.32
2016.4535519125684,2071.5
2016.4562841530055,2077.99
2016.4590163934427,2071.22
2016.467213114754,2083.25
2016.4699453551912,2088.9
2016.4726775956285,2085.45
2016.4754098360656,2113.32
2016.4781420765028,2037.41
2016.4863387978141,2000.54
2016.4890710382513,2036.09
2016.4918032786886,2070.77
2016.4945355191257,2098.86
2016.4972677595629,2102.95
2016.5081967213114,2088.55
2016.5109289617487,2099.73
2016.5136612021859,2097.9
2016.516393442623,2129.9
2016.5245901639344,2137.16
2016.5273224043715,2152.14
2016.5300546448088,2152.43
2016.532786885246,2163.75
2016.535519125683,2161.74
2016.5437158469945,2166.89
2016.5464480874316,2163.78
2016.549180327869,2173.02
2016.551912568306,2165.17
2016.5546448087432,2175.03
2016.5628415300546,2168.48
2016.5655737704917,2169.18
2016.568306010929,2166.58
2016.5710382513662,2170.06
2016.5737704918033,2173.6
2016.5819672131147,2170.84
2016.5846994535518,2157.03
2016.5874316939892,2163.79
2016.5901639344263,2164.25
2016.5928961748634,2182.87
2016.6010928961748,2180.89
2016.603825136612,2181.74
2016.6065573770493,2175.49
2016.6092896174864,2185.79
2016.6120218579235,2184.05
2016.620218579235,2190.15
2016.622950819672,2178.15
2016.6256830601094,2182.22
2016.6284153005465,2187.02
2016.6311475409836,2183.87
2016.639344262295,2182.64
2016.6420765027322,2186.9
2016.6448087431695,2175.44
2016.6475409836066,2172.47
2016.6502732240438,2169.04
2016.6584699453551,2180.38
2016.6612021857923,2176.12
2016.6639344262296,2170.95
2016.6666666666667,2170.86
2016.6693989071039,2179.98
2016.6803278688524,2186.48
2016.6830601092897,2186.16
2016.6857923497269,2181.3
2016.688524590164,2127.81
2016.6967213114754,2159.04
2016.6994535519125,2127.02
2016.7021857923498,2125.77
2016.704918032787,2147.26
2016.707650273224,2139.16
2016.7158469945355,2139.12
2016.7185792349726,2139.76
2016.72131147541,2163.12
2016.724043715847,2177.18
2016.7267759562842,2164.69
2016.7349726775956,2146.1
2016.7377049180327,2159.93
2016.74043715847,2171.37
2016.7431693989072,2151.13
2016.7459016393443,2168.27
2016.7540983606557,2161.2
2016.7568306010928,2150.49
2016.75956284153,2159.73
2016.7622950819673,2160.77
2016.7650273224044,2153.74
2016.7732240437158,2163.66
2016.775956284153,2136.73
2016.77868852459,2139.18
2016.7814207650274,2132.55
2016.7841530054645,2132.98
2016.792349726776,2126.5
2016.795081967213,2139.6
2016.7978142076502,2144.29
2016.8005464480875,2141.34
2016.8032786885246,2141.16
2016.811475409836,2151.33
2016.8142076502731,2143.16
2016.8169398907103,2139.43
2016.8196721311476,2133.04
2016.8224043715848,2126.41
2016.8306010928961,2126.15
2016.8333333333333,2111.72
2016.8360655737704,2097.94
2016.8387978142077,2088.66
2016.8415300546449,2085.18
2016.8497267759562,2131.52
2016.8524590163934,2139.56
2016.8551912568305,2163.26
2016.8579234972678,2167.48
2016.860655737705,2164.45
2016.8688524590164,2164.2
2016.8715846994535,2180.39
2016.8743169398906,2176.94
2016.877049180328,2187.12
2016.879781420765,2181.9
2016.8879781420765,2198.18
2016.8907103825136,2202.94
2016.8934426229507,2204.72
2016.8989071038252,2213.35
2016.9071038251366,2201.72
2016.9098360655737,2204.66
2016.9125683060108,2198.81
2016.9153005464482,2191.08
2016.9180327868853,2191.95
2016.9262295081967,2204.71
2016.9289617486338,2212.23
2016.931693989071,2241.35
2016.9344262295083,2246.19
2016.9371584699454,2259.53
2016.9453551912568,2256.96
2016.948087431694,2271.72
2016.950819672131,2253.28
2016.9535519125684,2262.03
2016.9562841530055,2258.07
2016.964480874317,2262.53
2016.967213114754,2270.76
2016.9699453551912,2265.18
2016.9726775956285,2260.96
2016.9754098360656,2263.79
2016.9863387978141,2268.88
